,µs–ms exchange content,missing-peak content,exchange magnitude ΔR₂/R₁,loop content,conservation,AF2 pLDDT (order),size proxy τc
µs–ms exchange content,1.0,0.8114349892506224,0.27693920784958576,0.0031050061655950316,0.015187087493354408,-0.11595998769636091,0.2393229632677421
missing-peak content,0.8114349892506224,0.9999999999999999,0.06783830372206465,-0.04443543953733668,0.08829890874707207,-0.19574206968737876,0.38547745909087844
exchange magnitude ΔR₂/R₁,0.27693920784958576,0.06783830372206465,1.0,-0.049604729411786924,-0.10184566662732601,0.029308568137657122,-0.4157189884962538
loop content,0.0031050061655950316,-0.04443543953733668,-0.049604729411786924,1.0,0.07155266779812376,0.0636530631114995,-0.07273790527797963
conservation,0.015187087493354408,0.08829890874707207,-0.10184566662732601,0.07155266779812376,1.0,-0.0980971711397521,0.1798543522664722
AF2 pLDDT (order),-0.11595998769636091,-0.19574206968737876,0.029308568137657122,0.0636530631114995,-0.0980971711397521,1.0,0.040340774248550995
size proxy τc,0.2393229632677421,0.38547745909087844,-0.4157189884962538,-0.07273790527797963,0.1798543522664722,0.040340774248550995,1.0
