,µs–ms exchange content,missing-peak content,exchange magnitude ΔR₂/R₁,loop content,conservation,AF2 pLDDT (order),size proxy τc
µs–ms exchange content,0.9999999999999998,0.6425200674497644,0.3780434513368448,0.03268442297247747,-0.08929822643193217,-0.1422080414665395,-0.06945527800505949
missing-peak content,0.6425200674497644,1.0,-0.08957697802670891,-0.04163801189193499,0.010686279408380402,-0.20833919480699425,0.23048522957891385
exchange magnitude ΔR₂/R₁,0.37804345133684486,-0.08957697802670891,0.9999999999999998,0.03160506455105517,-0.1492946969192894,-0.02228506728305844,-0.30709361348638553
loop content,0.03268442297247747,-0.04163801189193499,0.03160506455105517,1.0,0.06591399267918269,0.09773484909892348,-0.19085134453258848
conservation,-0.08929822643193217,0.0106862794083804,-0.1492946969192894,0.06591399267918267,1.0,0.0005710698446771026,0.19304940086434763
AF2 pLDDT (order),-0.1422080414665395,-0.20833919480699425,-0.02228506728305844,0.09773484909892348,0.0005710698446771026,1.0,0.0037508054418422016
size proxy τc,-0.0694552780050595,0.23048522957891387,-0.30709361348638553,-0.19085134453258848,0.1930494008643476,0.0037508054418422016,0.9999999999999999
